record_id,date,day_index,week_index,division,district,upazila_city,ward_or_cluster,settlement_type,latitude,longitude,area_km2,total_population,population_density_per_km2,children_6_59m,children_under2,infants_6_8m,school_age_children_5_14,households,avg_household_size,slum_density_index,poverty_index,caregiver_literacy_rate,caregiver_phone_access_rate,mobile_population_index,hard_to_reach_index,road_access_score,flood_or_rain_access_risk,market_count,school_count,mosque_count,factory_count,community_health_volunteers,historical_epi_coverage,mr1_coverage_baseline,mr2_coverage_baseline,current_campaign_coverage,campaign_target_children,registered_children,immunization_card_available_rate,estimated_zero_dose_children,estimated_under_vaccinated_children,defaulter_children,missed_epi_sessions_30d,days_since_last_campaign,refusal_rate,absent_rate,field_followup_rate,cold_chain_outage_last_30d_flag,suspected_cases_today,confirmed_cases_today,deaths_today,cases_under5_today,cases_under2_today,infant_cases_today,rash_fever_reports_today,lab_tests_today,test_positivity_rate,cases_last7,confirmed_last7,deaths_last7,case_growth_7d_pct,rt_estimate,attack_rate_per_10000,contact_cluster_count,school_cluster_flag,market_cluster_flag,adjacent_high_risk_area_count,community_rumor_reports_7d,dominant_rumor_topic,community_sentiment_score,facility_id,nearest_health_facility,distance_to_nearest_facility_km,avg_travel_time_to_facility_min,vaccination_sites_active,mobile_teams_available,vaccinators_available,team_hours_available_today,vaccine_stock_mr_doses,doses_received_today,doses_used_today,doses_wasted_today,wastage_rate,cold_chain_capacity_doses,fridge_temp_avg_c,fridge_temp_excursion_count_7d,generator_available_flag,days_of_stock_remaining,stockout_risk_score,recommended_doses_needed_7d,vaccine_shortfall_7d,priority_shipment_flag,suggested_reallocation_from_facility,suggested_reallocation_to_facility,households_visited_today,children_screened_today,children_vaccinated_today,children_absent_today,children_refused_today,followup_households,estimated_households_to_visit_tomorrow,estimated_children_to_reach_tomorrow,doses_to_carry_tomorrow,daily_route_km_recommended,route_priority_rank,route_plan_text,nearest_hospital_id,nearest_hospital_name,distance_to_nearest_hospital_km,pediatric_beds_total,pediatric_beds_available,oxygen_cylinders_available,picu_beds_total,picu_beds_available,measles_admissions_today,total_pediatric_admissions_today,predicted_measles_admissions_7d,predicted_oxygen_demand_7d,picu_pressure_score,hospital_surge_risk_level,zero_dose_risk_score,outbreak_priority_score,forecast_cases_next_7d,forecast_cases_next_14d,forecast_growth_next_7d_pct,risk_level_next_week,scenario_80pct_coverage_cases_14d,scenario_90pct_coverage_cases_14d,scenario_95pct_coverage_cases_14d,expected_cases_averted_if_95pct,model_recommended_action,alert_flags_json,community_notes,ai_generated_field_brief,public_message_template_bn,data_quality_score,synthetic_data_flag
ZMC-001-001,2026-03-15,1,1,Dhaka,Dhaka,Dhaka North City,Korail Block A,urban_slum,23.7821,90.4044,1.1,55472,50429,6073,2940,518,6560,10571,5.25,0.96,0.81,0.518,0.62,0.92,0.751,0.326,0.285,6,12,13,4,10,0.82,0.74,0.68,0.607,6073,3340,0.374,2154,264,698,2,21,0.16,0.304,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.0,0.55,0.0,1,0,0,1,11,none,-0.256,DNCC-01,Mohakhali Urban Clinic,7.7,183,3,5,20,144,1223,0,17,0,0.0,5363,6.49,0,0,71.94,0,650,0,0,none,none,598,385,17,29,4,60,139,116,125,25.42,73,Start at Mohakhali Urban Clinic; visit highest-risk blocks in Korail Block A; prioritize absent/refusal follow-ups; carry 125 MR doses; sync offline forms after route.,H-DHK-01,Dhaka Shishu Hospital,11.39,120,57,71,5,1,0,12,0,0,0.358,moderate,0.583,0.271,0,2,0.0,low,1,1,0,2,Send rumor response team with community leader,"[""low_vaccine_confidence""]","Synthetic note: Korail Block A has urban slum conditions, 2154 estimated zero-dose children, 0 suspected cases in last 7 days, rumor topic: none.","Tomorrow focus: Send rumor response team with community leader. Target 116 children, 139 households, stockout risk 0, hospital surge moderate.",আপনার শিশুর জ্বর ও র‍্যাশ হলে নিকটস্থ স্বাস্থ্যকেন্দ্রে যান। ৬-৫৯ মাস বয়সী শিশুর এমআর টিকা নিশ্চিত করুন।,0.62,True
ZMC-002-001,2026-03-15,1,1,Dhaka,Dhaka,Dhaka North City,Mirpur Section 11,dense_urban,23.8151,90.3667,2.4,53710,22379,4526,2083,514,7008,11040,4.87,0.78,0.67,0.604,0.665,0.69,0.597,0.393,0.238,8,8,15,1,6,0.86,0.79,0.73,0.697,4526,2493,0.554,1609,167,711,3,21,0.148,0.266,0.9,0,1,0,0,0,0,0,2,0,0,1,0,0,0.0,1.407,0.186,0,0,0,3,9,vaccine_shortage_confusion,-0.186,DNCC-02,Mirpur EPI Center,5.69,135,1,7,18,111,2058,0,9,0,0.0,2103,5.24,1,1,228.67,0,599,0,0,none,none,839,787,9,28,18,55,108,94,101,17.18,76,Start at Mirpur EPI Center; visit highest-risk blocks in Mirpur Section 11; prioritize absent/refusal follow-ups; carry 101 MR doses; sync offline forms after route.,H-DHK-02,Shaheed Suhrawardy Medical College,9.25,140,64,102,6,2,0,19,6,2,0.387,moderate,0.495,0.242,2,4,100.0,low,2,2,1,3,Send rumor response team with community leader,"[""low_vaccine_confidence""]","Synthetic note: Mirpur Section 11 has dense urban conditions, 1609 estimated zero-dose children, 1 suspected cases in last 7 days, rumor topic: vaccine_shortage_confusion.","Tomorrow focus: Send rumor response team with community leader. Target 94 children, 108 households, stockout risk 0, hospital surge moderate.",আপনার শিশুর জ্বর ও র‍্যাশ হলে নিকটস্থ স্বাস্থ্যকেন্দ্রে যান। ৬-৫৯ মাস বয়সী শিশুর এমআর টিকা নিশ্চিত করুন।,0.754,True
ZMC-003-001,2026-03-15,1,1,Dhaka,Dhaka,Dhaka South City,Jatrabari East,dense_urban,23.7104,90.4345,2.0,43741,21870,4544,2102,314,4829,8506,5.14,0.83,0.74,0.544,0.685,0.76,0.666,0.327,0.305,6,9,13,1,7,0.81,0.72,0.66,0.6,4544,2499,0.396,1665,205,785,2,21,0.129,0.307,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.0,0.55,0.0,0,0,0,0,6,fertility_myth,-0.279,DSCC-01,Jatrabari Health Post,7.79,108,3,4,12,82,1442,0,11,0,0.0,3206,6.89,1,0,131.09,0,365,0,0,none,none,723,576,11,38,12,61,163,121,130,21.99,75,Start at Jatrabari Health Post; visit highest-risk blocks in Jatrabari East; prioritize absent/refusal follow-ups; carry 130 MR doses; sync offline forms after route.,H-DHK-03,Mugda Medical College Hospital,12.84,100,35,73,7,1,0,5,0,0,0.369,moderate,0.531,0.25,2,6,200.0,low,4,3,2,4,Open temporary school vaccination post,"[""low_vaccine_confidence""]","Synthetic note: Jatrabari East has dense urban conditions, 1665 estimated zero-dose children, 0 suspected cases in last 7 days, rumor topic: fertility_myth.","Tomorrow focus: Open temporary school vaccination post. Target 121 children, 163 households, stockout risk 0, hospital surge moderate.",আপনার শিশুর জ্বর ও র‍্যাশ হলে নিকটস্থ স্বাস্থ্যকেন্দ্রে যান। ৬-৫৯ মাস বয়সী শিশুর এমআর টিকা নিশ্চিত করুন।,0.659,True
ZMC-004-001,2026-03-15,1,1,Dhaka,Dhaka,Dhaka South City,Kamrangirchar Riverside,urban_slum,23.7154,90.3694,1.5,50689,33792,6003,2147,453,7881,11354,4.46,0.94,0.79,0.599,0.625,0.88,0.746,0.275,0.294,8,10,15,4,7,0.79,0.7,0.62,0.545,6003,3301,0.404,2583,300,1322,5,21,0.121,0.327,0.915,1,3,0,0,2,1,0,3,1,0.0,3,0,0,200.0,2.838,0.592,0,0,0,2,8,vaccine_shortage_confusion,-0.231,DSCC-02,Kamrangirchar Community Clinic,8.42,148,2,5,15,88,1421,0,11,64,0.853,4966,6.97,3,1,129.18,0,2170,749,1,lower-risk district store,DSCC-02,638,485,11,27,10,61,171,117,226,24.13,57,Start at Kamrangirchar Community Clinic; visit highest-risk blocks in Kamrangirchar Riverside; prioritize absent/refusal follow-ups; carry 226 MR doses; sync offline forms after route.,H-DHK-04,Sir Salimullah Medical College,16.58,180,59,97,10,1,0,10,18,6,0.519,moderate,0.598,0.432,4,12,33.3,moderate,8,6,4,8,Send rumor response team with community leader,"[""low_vaccine_confidence"", ""cold_chain_temperature_excursion""]","Synthetic note: Kamrangirchar Riverside has urban slum conditions, 2583 estimated zero-dose children, 3 suspected cases in last 7 days, rumor topic: vaccine_shortage_confusion.","Tomorrow focus: Send rumor response team with community leader. Target 117 children, 171 households, stockout risk 0, hospital surge moderate.",আপনার শিশুর জ্বর ও র‍্যাশ হলে নিকটস্থ স্বাস্থ্যকেন্দ্রে যান। ৬-৫৯ মাস বয়সী শিশুর এমআর টিকা নিশ্চিত করুন।,0.625,True
ZMC-005-001,2026-03-15,1,1,Dhaka,Dhaka,Dhaka North City,Tejgaon Industrial Area,industrial_urban,23.7615,90.3916,1.8,36966,20536,4364,1660,225,5298,8406,4.4,0.74,0.7,0.576,0.626,0.72,0.609,0.443,0.307,5,5,8,6,7,0.84,0.77,0.7,0.618,4364,2400,0.459,1625,178,845,3,21,0.156,0.258,0.916,0,0,0,0,0,0,0,1,0,0,0,0,0,-100.0,0.55,0.0,0,0,0,1,7,political_distrust,-0.296,DNCC-03,Tejgaon Health Center,6.03,116,1,5,13,89,1600,0,10,0,0.0,3266,5.34,1,1,160.0,0,356,0,0,none,none,427,517,10,32,16,63,204,124,133,20.87,76,Start at Tejgaon Health Center; visit highest-risk blocks in Tejgaon Industrial Area; prioritize absent/refusal follow-ups; carry 133 MR doses; sync offline forms after route.,H-DHK-01,Dhaka Shishu Hospital,9.14,60,24,30,3,1,0,4,0,0,0.338,low,0.506,0.233,0,1,0.0,low,0,0,0,1,Send rumor response team with community leader,"[""low_vaccine_confidence""]","Synthetic note: Tejgaon Industrial Area has industrial urban conditions, 1625 estimated zero-dose children, 0 suspected cases in last 7 days, rumor topic: political_distrust.","Tomorrow focus: Send rumor response team with community leader. Target 124 children, 204 households, stockout risk 0, hospital surge low.",আপনার শিশুর জ্বর ও র‍্যাশ হলে নিকটস্থ স্বাস্থ্যকেন্দ্রে যান। ৬-৫৯ মাস বয়সী শিশুর এমআর টিকা নিশ্চিত করুন।,0.676,True
ZMC-006-001,2026-03-15,1,1,Dhaka,Dhaka,Savar Upazila,Hemayetpur Worker Colony,peri_urban,23.7939,90.2717,3.6,36582,10161,3427,1924,248,5455,7456,4.91,0.7,0.63,0.61,0.576,0.67,0.602,0.362,0.278,4,6,8,2,3,0.87,0.78,0.72,0.639,3427,1884,0.478,1126,127,378,3,21,0.133,0.238,0.804,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.0,0.55,0.0,0,0,0,2,9,vaccine_causes_measles_myth,-0.269,SAV-01,Hemayetpur Union Health Center,6.31,98,2,5,14,97,952,0,10,0,0.0,2585,5.69,0,0,95.2,0,247,0,0,none,none,529,387,10,19,7,33,119,100,108,19.28,77,Start at Hemayetpur Union Health Center; visit highest-risk blocks in Hemayetpur Worker Colony; prioritize absent/refusal follow-ups; carry 108 MR doses; sync offline forms after route.,H-DHK-05,Savar Upazila Health Complex,10.97,22,6,10,0,0,0,1,0,0,0.4,moderate,0.468,0.232,0,5,0.0,low,3,2,2,3,Send rumor response team with community leader,"[""low_vaccine_confidence""]","Synthetic note: Hemayetpur Worker Colony has peri urban conditions, 1126 estimated zero-dose children, 0 suspected cases in last 7 days, rumor topic: vaccine_causes_measles_myth.","Tomorrow focus: Send rumor response team with community leader. Target 100 children, 119 households, stockout risk 0, hospital surge moderate.",আপনার শিশুর জ্বর ও র‍্যাশ হলে নিকটস্থ স্বাস্থ্যকেন্দ্রে যান। ৬-৫৯ মাস বয়সী শিশুর এমআর টিকা নিশ্চিত করুন।,0.666,True
ZMC-007-001,2026-03-15,1,1,Dhaka,Dhaka,Keraniganj Upazila,Agangarh Bazaar Area,peri_urban,23.6995,90.3677,2.8,20579,7349,2320,735,173,2380,4316,4.77,0.71,0.61,0.568,0.64,0.63,0.527,0.542,0.287,4,3,4,3,4,0.85,0.77,0.7,0.69,2320,1276,0.549,738,98,399,2,21,0.115,0.235,0.801,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.0,0.55,0.0,0,0,0,2,10,none,0.111,KER-01,Agangarh EPI Booth,5.38,97,1,6,13,72,1115,0,3,0,0.0,1963,6.44,1,0,371.67,0,161,0,0,none,none,528,426,3,15,5,28,50,26,28,16.75,78,Start at Agangarh EPI Booth; visit highest-risk blocks in Agangarh Bazaar Area; prioritize absent/refusal follow-ups; carry 28 MR doses; sync offline forms after route.,H-DHK-06,Keraniganj Upazila Health Complex,10.76,35,9,14,2,0,0,3,0,0,0.4,moderate,0.452,0.219,1,1,100.0,low,0,0,0,1,Send rumor response team with community leader,[],"Synthetic note: Agangarh Bazaar Area has peri urban conditions, 738 estimated zero-dose children, 0 suspected cases in last 7 days, rumor topic: none.","Tomorrow focus: Send rumor response team with community leader. Target 26 children, 50 households, stockout risk 0, hospital surge moderate.",আপনার শিশুর জ্বর ও র‍্যাশ হলে নিকটস্থ স্বাস্থ্যকেন্দ্রে যান। ৬-৫৯ মাস বয়সী শিশুর এমআর টিকা নিশ্চিত করুন।,0.713,True
ZMC-008-001,2026-03-15,1,1,Gazipur,Dhaka,Gazipur City,Tongi Factory Belt,industrial_urban,23.8915,90.4023,3.1,47754,15404,5761,2022,429,7559,8883,5.38,0.76,0.76,0.547,0.637,0.8,0.692,0.337,0.354,6,9,14,10,9,0.83,0.75,0.68,0.592,5761,3168,0.484,2403,246,758,4,21,0.135,0.296,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.0,0.55,0.0,0,0,0,2,8,none,-0.047,GCC-01,Tongi Urban Health Center,7.84,130,1,6,12,67,1832,0,14,1,0.067,4750,5.76,2,0,130.86,0,547,0,0,none,none,518,470,14,34,9,66,233,150,172,23.3,75,Start at Tongi Urban Health Center; visit highest-risk blocks in Tongi Factory Belt; prioritize absent/refusal follow-ups; carry 172 MR doses; sync offline forms after route.,H-GAZ-01,Gazipur Shaheed Tajuddin Medical College,11.42,140,18,82,9,5,0,21,0,0,0.275,low,0.539,0.243,0,5,0.0,low,3,2,2,3,Send rumor response team with community leader,[],"Synthetic note: Tongi Factory Belt has industrial urban conditions, 2403 estimated zero-dose children, 0 suspected cases in last 7 days, rumor topic: none.","Tomorrow focus: Send rumor response team with community leader. Target 150 children, 233 households, stockout risk 0, hospital surge low.",আপনার শিশুর জ্বর ও র‍্যাশ হলে নিকটস্থ স্বাস্থ্যকেন্দ্রে যান। ৬-৫৯ মাস বয়সী শিশুর এমআর টিকা নিশ্চিত করুন।,0.694,True
ZMC-009-001,2026-03-15,1,1,Gazipur,Dhaka,Gazipur Sadar,Board Bazar Area,peri_urban,23.98,90.39,4.0,39212,9803,3491,1952,381,5786,7960,4.93,0.65,0.59,0.642,0.574,0.58,0.505,0.506,0.25,4,8,13,3,5,0.87,0.81,0.75,0.694,3491,1920,0.519,1095,130,308,2,21,0.104,0.212,0.882,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.0,0.55,0.0,0,0,0,1,5,vaccine_shortage_confusion,-0.189,GAZ-01,Board Bazar Clinic,6.15,97,3,3,10,65,786,0,6,0,0.0,1805,4.56,1,1,131.0,0,239,0,0,none,none,526,643,6,11,8,27,115,69,74,17.44,80,Start at Board Bazar Clinic; visit highest-risk blocks in Board Bazar Area; prioritize absent/refusal follow-ups; carry 74 MR doses; sync offline forms after route.,H-GAZ-01,Gazipur Shaheed Tajuddin Medical College,12.13,100,49,53,4,1,0,5,0,0,0.35,low,0.418,0.202,0,0,0.0,low,0,0,0,0,Maintain routine campaign and monitor,"[""low_vaccine_confidence""]","Synthetic note: Board Bazar Area has peri urban conditions, 1095 estimated zero-dose children, 0 suspected cases in last 7 days, rumor topic: vaccine_shortage_confusion.","Tomorrow focus: Maintain routine campaign and monitor. Target 69 children, 115 households, stockout risk 0, hospital surge low.",এমআর টিকা শিশুকে হাম ও রুবেলা থেকে সুরক্ষা দেয়। টিকা কার্ড সঙ্গে আনুন।,0.697,True
ZMC-010-001,2026-03-15,1,1,Chattogram,Chattogram,Chattogram City,Halishahar Ward,dense_urban,22.3384,91.7956,2.5,50277,20110,4804,2491,381,7370,10640,4.73,0.72,0.64,0.61,0.67,0.66,0.601,0.311,0.207,8,11,15,4,8,0.86,0.8,0.73,0.71,4804,2642,0.556,1295,176,702,3,21,0.116,0.255,0.94,0,0,0,0,0,0,0,1,0,0,0,0,0,-100.0,0.633,0.0,0,0,0,1,7,political_distrust,-0.245,CCC-01,Halishahar Health Center,6.75,129,2,4,14,83,1226,0,9,0,0.0,3739,6.6,1,0,136.22,0,302,0,0,none,none,510,472,9,16,4,30,172,112,120,21.45,79,Start at Halishahar Health Center; visit highest-risk blocks in Halishahar Ward; prioritize absent/refusal follow-ups; carry 120 MR doses; sync offline forms after route.,H-CTG-01,Chattogram Medical College Hospital,7.82,180,52,43,7,4,0,23,0,0,0.275,low,0.445,0.21,0,0,0.0,low,0,0,0,0,Send rumor response team with community leader,"[""low_vaccine_confidence""]","Synthetic note: Halishahar Ward has dense urban conditions, 1295 estimated zero-dose children, 0 suspected cases in last 7 days, rumor topic: political_distrust.","Tomorrow focus: Send rumor response team with community leader. Target 112 children, 172 households, stockout risk 0, hospital surge low.",আপনার শিশুর জ্বর ও র‍্যাশ হলে নিকটস্থ স্বাস্থ্যকেন্দ্রে যান। ৬-৫৯ মাস বয়সী শিশুর এমআর টিকা নিশ্চিত করুন।,0.746,True
